phi,method,Mean_Iteration_Number,SD_Iteration_Number,mean_SD
large,Bisection,8,0.61,8(0.61)
large,Bisection_fixbnd,9,0.88,9(0.88)
large,Bisection-Slider,8,0.61,8(0.61)
large,Bisection-Slider_fixbnd,9,0.88,9(0.88)
large,MOBS,14,2.16,14(2.16)
large,MOBS_fixbnd,16,3.68,16(3.68)
large,ASA,117,11.24,117(11.24)
large,ASA_randInit,117,11.26,117(11.26)
large,SimpBisection,9,1,9(1)
large,SimpBisection_randInit,9,1.05,9(1.05)
large,PEST,16,4.71,16(4.71)
large,PEST_randInit,16,4.57,16(4.57)
medium,Bisection,8,0.66,8(0.66)
medium,Bisection_fixbnd,9,0.89,9(0.89)
medium,Bisection-Slider,8,0.66,8(0.66)
medium,Bisection-Slider_fixbnd,9,0.89,9(0.89)
medium,MOBS,16,5.05,16(5.05)
medium,MOBS_fixbnd,21,7.23,21(7.23)
medium,ASA,138,11.46,138(11.46)
medium,ASA_randInit,138,11.63,138(11.63)
medium,SimpBisection,9,1.07,9(1.07)
medium,SimpBisection_randInit,9,1.07,9(1.07)
medium,PEST,21,8.44,21(8.44)
medium,PEST_randInit,21,8.4,21(8.4)
small,Bisection,7,1.51,7(1.51)
small,Bisection_fixbnd,9,0.92,9(0.92)
small,Bisection-Slider,7,1.49,7(1.49)
small,Bisection-Slider_fixbnd,9,0.91,9(0.91)
small,MOBS,16,8.23,16(8.23)
small,MOBS_fixbnd,23,10.15,23(10.15)
small,ASA,144,12.28,144(12.28)
small,ASA_randInit,144,12.43,144(12.43)
small,SimpBisection,9,1.67,9(1.67)
small,SimpBisection_randInit,9,1.74,9(1.74)
small,PEST,23,11.65,23(11.65)
small,PEST_randInit,23,11.63,23(11.63)
