index,subject,x1pos,x2pos,x3pos,x4pos,x5pos,x6pos,x7pos,x8pos,x1neg,x2neg,x3neg,x4neg,x5neg,x6neg,x7neg,x8neg,L,G2,L2,alpha,beta
1,1129_01_01,1090,3400,7085,9910,11975,12610,14080,14650,-805,-2530,-4290,-6920,-10130,-12600,-13550,-15410,-1560,1690,-1345,1.293511071,0.885719077
2,1129_01_02,1030,2935,4310,5940,7520,9635,11810,14060,-765,-1715,-3220,-4645,-5620,-7020,-8555,-10225,-1810,1100,-2120,0.805850641,0.815494679
3,1129_01_03,470,1075,1765,2325,2870,6250,10555,13640,-760,-2470,-4390,-6370,-7905,-14845,-19230,-41380,-1940,2090,-940,0.383239488,0.261399034
4,1129_01_04,970,2100,3940,5130,7060,8505,9905,11260,-310,-2240,-4565,-6620,-11460,-18875,-20360,-32500,-3940,1165,-2020,0.914355617,0.448944761
5,1129_01_05,1090,1815,2015,2350,2535,3590,3255,3410,-515,-1935,-3085,-5550,-6590,-7595,-8015,-8975,-1060,1550,-565,2.015245847,1.087517867
6,1129_02_01,1030,2165,3335,4545,5790,7075,8400,9770,-940,-1860,-2750,-3615,-4455,-5270,-6055,-6820,-1940,1280,-1370,0.908487732,1.081780441
7,1129_02_03,970,1540,3475,5955,6900,8325,9790,11300,-1700,-4840,-6825,-7825,-8855,-9915,-11005,-11395,-2940,1060,-1470,0.888153026,1.609273627
8,1130_01_01,780,3245,4520,6135,9215,13630,23055,23715,-805,-1255,-1580,-1745,-2030,-2440,-2840,-3230,-2060,790,-1725,0.578312348,1.290808811
9,1130_01_02,1720,4410,4780,5465,6175,6900,7185,7460,-800,-1335,-2005,-5005,-6940,-7850,-9870,-11955,-1190,2025,-820,2.072119635,0.708840731
10,1130_01_03,1030,1810,2510,3070,3720,4475,5060,5700,-85,-115,-160,-200,-270,-325,-400,-435,-190,420,-450,1.173273295,1.017823924
11,1130_01_04,220,330,490,675,850,1615,1760,1900,-760,-1500,-2500,-3390,-4310,-5260,-6235,-8565,-2190,1090,-505,0.779374471,0.712209664
12,1130_01_05,1090,1855,2825,3480,3950,4710,4905,8055,-305,-530,-620,-795,-1015,-1045,-1070,-1095,-1310,625,-655,0.751779298,1.986126466
13,1130_01_06,1030,2055,4015,5415,7280,8785,9710,12665,-995,-1260,-1515,-1650,-1895,-2130,-2210,-2440,-2060,605,-1540,0.802623731,2.07804458
14,1130_01_07,1530,1515,3115,4665,10145,11470,25930,52665,-1705,-5005,-9950,-11960,-22890,-29240,-44490,-57145,-2060,2700,-2000,0.213320532,0.490144095
15,1130_01_08,590,995,1640,1405,3280,6745,7925,9745,-515,-930,-1000,-2430,-4245,-4985,-5405,-8430,-1060,890,-805,0.512159498,0.546630181
16,1130_02_01,910,1720,2420,3185,4025,5230,6265,6550,-1160,-2345,-3785,-5660,-7835,-10910,-18415,-22580,-2560,1415,-795,1.030819318,0.485179303
17,1130_02_02,1470,2905,5400,8445,10900,12815,19275,22750,-1665,-5820,-9045,-20290,-28040,-30565,-35185,-42535,-3440,1900,-1825,0.651960177,0.811268669
18,1130_02_03,910,2080,5300,11995,19580,40110,72865,112795,-1000,-1185,-2465,-3375,-4140,-5850,-6690,-6930,-1940,1830,-1095,0.287093358,0.981906701
19,1130_02_04,1220,2415,3565,5885,6485,7995,8975,9920,-920,-1730,-3820,-4530,-5265,-6020,-6800,-7605,-3940,875,-1570,1.080793732,1.179113353
